img_id,disease,engine,point_game,energy,iou,area_ratio
patient64582_study1_view1_frontal,Edema,RadImageNet_GradCAM++,0,0.0741591602563858,0.09608415097675241,0.21000079719387754
patient64582_study1_view1_frontal,Atelectasis,ImageNet_GradCAM,0,0.055501021444797516,0.07936887401386565,0.3285634566326531
patient64582_study1_view1_frontal,Atelectasis,ImageNet_GradCAM++,0,0.059036627411842346,0.12444655281467426,0.2520727040816326
patient64582_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM,1,0.0692664235830307,0.09919334509705066,0.3162468112244898
patient64582_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM++,1,0.0671636313199997,0.1067770164846347,0.2937858737244898
patient64583_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.11904086172580719,0.17316140002834066,0.11246412627551021
patient64583_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.11249001324176788,0.18412964515227717,0.2853156887755102
patient64583_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.07059895992279053,0.06349950207955012,0.30929129464285715
patient64583_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.06679410487413406,0.058924327013432094,0.3292610012755102
patient64583_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM,0,0.0,0.0,0.07794563137755102
patient64583_study1_view1_frontal,Pleural Effusion,ImageNet_GradCAM++,0,0.0002504799922462553,0.0,0.11700813137755102
patient64583_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM,0,0.0025053510908037424,0.001954624781849913,0.28453842474489793
patient64583_study1_view1_frontal,Pleural Effusion,RadImageNet_GradCAM++,0,0.002450968837365508,0.002920049056824155,0.3407405931122449
patient64583_study1_view1_frontal,Atelectasis,ImageNet_GradCAM,0,0.06265012919902802,0.08837801771199806,0.3285634566326531
patient64583_study1_view1_frontal,Atelectasis,ImageNet_GradCAM++,0,0.05407057702541351,0.11299613351219127,0.2520727040816326
patient64583_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM,0,0.03935227915644646,0.041979912191014615,0.3162468112244898
patient64583_study1_view1_frontal,Atelectasis,RadImageNet_GradCAM++,0,0.034329403191804886,0.03859964093357271,0.2937858737244898
patient64600_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.14148123562335968,0.3416579951439473,0.11246412627551021
patient64600_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.09511781483888626,0.14620005588153115,0.2853156887755102
patient64600_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM,0,0.07470253109931946,0.12364425162689804,0.30929129464285715
patient64600_study1_view1_frontal,Airspace Opacity,RadImageNet_GradCAM++,0,0.0759711042046547,0.11990854942542567,0.3292610012755102
patient64600_study1_view1_frontal,Edema,ImageNet_GradCAM,0,0.232259601354599,0.06279025684769216,0.15425701530612246
patient64600_study1_view1_frontal,Edema,ImageNet_GradCAM++,0,0.29852956533432007,0.1088258964499687,0.20155054209183673
patient64600_study1_view1_frontal,Edema,RadImageNet_GradCAM,0,0.35569173097610474,0.1674075521469396,0.18357382015306123
patient64600_study1_view1_frontal,Edema,RadImageNet_GradCAM++,0,0.3763877749443054,0.2300190178963281,0.21000079719387754
patient64603_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM,0,0.10704150795936584,0.15869657215404148,0.11246412627551021
patient64603_study1_view1_frontal,Airspace Opacity,ImageNet_GradCAM++,0,0.10357054322957993,0.17934213283050493,0.2853156887755102
